Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Cabin_new
0,3,male,27.0,0,0,7,S,F G73
1,2,female,30.0,0,0,12,Q,D
1,2,female,22.0,1,1,29,S,C118
0,3,male,22.0,8,2,69,S,B35
1,1,female,36.0,0,0,135,C,C32
0,3,male,61.0,0,0,6,S,F G73
1,2,female,36.0,0,0,13,S,D
1,3,female,31.0,1,1,20,S,F E69
1,1,female,16.0,0,1,57,C,B18
1,3,female,16.0,2,0,23,Q,F E69
0,1,male,45.5,0,0,28,S,C124
0,1,male,38.0,0,1,153,S,C91
0,3,male,16.0,2,0,18,S,G6
1,1,female,16.0,1,0,133,S,C99
0,3,male,29.0,0,0,7,S,F G73
0,1,male,29.0,1,0,66,S,C2
1,1,female,41.0,0,0,134,C,E40
1,3,male,45.0,0,0,8,S,E10
0,1,male,45.0,0,0,35,S,T
1,2,male,2.0,1,1,26,S,F2
1,1,female,24.0,3,2,263,S,C23 C25 C27
0,2,male,28.0,0,0,13,S,D56
0,2,male,25.0,0,0,13,S,D56
0,2,male,36.0,0,0,13,S,D56
1,2,female,24.0,0,0,13,S,F33
1,2,female,40.0,0,0,13,S,D56
1,3,female,40.0,1,0,16,S,G6
1,3,male,3.0,1,1,15,S,G6
0,3,male,42.0,0,0,8,S,E10
0,3,male,23.0,0,0,9,S,E10
0,1,male,23.0,0,0,35,S,C128
0,3,male,15.0,1,1,7,C,F G73
0,3,male,25.0,1,0,17,S,G6
0,3,male,25.0,0,0,7,C,F G73
0,3,male,28.0,0,0,9,S,E10
1,1,female,22.0,0,1,55,S,E33
0,2,female,38.0,0,0,13,S,D56
1,3,female,38.0,0,0,7,Q,F G73
1,3,female,40.0,0,0,7,Q,F G73
0,3,male,40.0,1,4,27,S,B4
0,2,male,29.0,1,0,27,C,B4
0,3,female,45.0,0,1,14,C,D56
0,3,male,35.0,0,0,7,S,F G73
0,3,male,35.0,1,0,15,Q,G6
0,3,male,30.0,0,0,7,S,F G73
1,1,female,60.0,1,0,75,C,D37
1,3,female,60.0,0,0,7,C,F G73
1,3,female,24.0,0,0,7,Q,F G73
1,1,female,24.0,0,0,69,C,B35
1,1,male,25.0,1,0,55,C,E50
0,3,male,18.0,1,0,6,S,F G73
0,3,male,19.0,0,0,8,S,E10
0,1,male,22.0,0,0,135,C,C99
0,3,female,3.0,3,1,21,S,F E69
1,1,female,3.0,1,0,82,C,B86
1,3,female,22.0,0,0,7,S,F G73
0,1,male,27.0,0,2,211,C,C82
0,3,male,20.0,0,0,4,C,F G73
0,3,male,19.0,0,0,7,S,F G73
1,1,female,42.0,0,0,227,C,C62 C64
1,3,female,1.0,0,2,15,C,G6
0,3,male,32.0,0,0,7,S,F G73
1,1,female,35.0,1,0,52,S,C110
0,3,male,35.0,0,0,7,S,F G73
0,2,male,18.0,0,0,73,S,B35
0,3,male,1.0,5,2,46,S,B39
1,2,female,36.0,0,0,13,S,D56
0,3,male,36.0,0,0,7,Q,F G73
1,2,female,17.0,0,0,12,C,D
1,1,male,36.0,1,2,120,S,B96 B98
1,3,male,21.0,0,0,7,S,F G73
0,3,male,28.0,2,0,7,S,F G73
1,1,female,23.0,1,0,113,C,D36
1,3,female,24.0,0,2,16,S,G6
0,3,male,22.0,0,0,7,S,F G73
0,3,female,31.0,0,0,7,S,F G73
0,2,male,46.0,0,0,26,S,C103
0,2,male,23.0,0,0,10,S,F33
1,2,female,28.0,0,0,12,S,D
1,3,male,39.0,0,0,7,S,F G73
0,3,male,26.0,0,0,8,S,E10
0,3,female,21.0,1,0,9,S,E10
0,3,male,28.0,1,0,15,S,G6
0,3,female,20.0,0,0,8,S,E10
0,2,male,34.0,1,0,21,S,F E69
0,3,male,51.0,0,0,7,S,F G73
1,2,male,3.0,1,1,18,S,G6
0,3,male,21.0,0,0,7,S,F G73
0,3,female,21.0,3,1,25,S,E58
0,3,male,21.0,0,0,7,S,F G73
0,3,male,33.0,0,0,6,Q,F G73
1,1,female,33.0,1,0,90,Q,C78
0,2,male,33.0,0,0,0,S,B94
1,3,male,44.0,0,0,7,S,F G73
0,3,female,44.0,0,0,8,S,E10
1,2,female,34.0,1,1,32,S,D50
1,2,female,18.0,0,2,13,S,D56
0,2,male,30.0,0,0,13,S,D56
0,3,female,10.0,0,2,24,S,E58
0,3,male,10.0,0,0,7,C,F G73
0,3,male,21.0,0,0,7,Q,F G73
0,3,male,29.0,0,0,7,S,F G73
0,3,female,28.0,1,1,14,S,D56
0,3,male,18.0,1,1,20,S,F E69
0,3,male,18.0,0,0,7,S,F G73
1,2,female,28.0,1,0,26,S,C103
1,2,female,19.0,0,0,26,S,C103
0,3,male,19.0,0,0,7,Q,F G73
1,3,male,32.0,0,0,8,S,E10
1,1,male,28.0,0,0,26,S,C52
1,3,female,28.0,1,0,16,S,G6
1,2,female,42.0,1,0,26,S,C103
0,3,male,17.0,0,0,7,S,F G73
0,1,male,50.0,1,0,55,S,E44
1,1,female,14.0,1,2,120,S,B96 B98
0,3,female,21.0,2,2,34,S,A5
1,2,female,24.0,2,3,18,S,G6
0,1,male,64.0,1,4,263,S,C23 C25 C27
0,2,male,31.0,0,0,10,S,F33
1,2,female,45.0,1,1,26,S,C103
0,3,male,20.0,0,0,9,S,E10
0,3,male,25.0,1,0,7,S,F G73
1,2,female,28.0,0,0,13,S,D56
1,3,male,28.0,0,0,8,S,E10
1,1,male,4.0,0,2,81,S,A34
1,2,female,13.0,0,1,19,S,G6
1,1,male,34.0,0,0,26,S,C103
1,3,female,5.0,2,1,19,C,G6
1,1,male,52.0,0,0,30,S,C104
0,2,male,36.0,1,2,27,S,B4
0,3,male,36.0,1,0,19,S,G6
0,1,male,30.0,0,0,27,C,C111
1,1,male,49.0,1,0,89,C,C92
0,3,male,49.0,0,0,8,S,E10
1,3,male,29.0,0,0,7,C,F G73
0,1,male,65.0,0,0,26,S,E38
1,1,female,65.0,1,0,51,S,D21
1,2,female,50.0,0,0,10,S,F33
0,3,male,50.0,0,0,7,Q,F G73
1,1,male,48.0,0,0,26,S,E12
0,3,male,34.0,0,0,8,S,E10
0,1,male,47.0,0,0,38,S,E63
0,2,male,48.0,0,0,13,S,D56
0,3,male,48.0,0,0,8,S,E10
0,3,male,38.0,0,0,7,S,F G73
0,2,male,38.0,0,0,0,S,B94
0,1,male,56.0,0,0,26,S,C103
0,3,male,56.0,0,0,7,Q,F G73
1,3,female,0.75,2,1,19,C,G6
0,3,male,0.75,0,0,7,S,F G73
0,3,male,38.0,0,0,8,S,E10
1,2,female,33.0,1,2,27,S,B4
1,2,female,23.0,0,0,13,C,D
0,3,female,22.0,0,0,9,S,E10
0,1,male,22.0,0,0,52,S,A14
0,2,male,34.0,1,0,21,S,F E69
0,3,male,29.0,1,0,7,S,F G73
0,3,male,22.0,0,0,7,S,F G73
1,3,female,2.0,0,1,12,S,D
0,3,male,9.0,5,2,46,S,B39
0,2,male,9.0,0,0,0,S,B94
0,3,male,50.0,0,0,8,S,E10
1,3,female,63.0,0,0,9,S,E10
1,1,male,25.0,1,0,91,C,B49
0,3,female,25.0,3,1,25,S,E58
1,1,female,35.0,1,0,90,S,C93
0,1,male,58.0,0,0,29,C,B37
0,3,male,30.0,0,0,8,S,E10
1,3,male,9.0,1,1,15,S,G6
0,3,male,9.0,1,0,19,S,G6
0,3,male,21.0,0,0,7,S,F G73
0,1,male,55.0,0,0,30,S,C30
0,1,male,71.0,0,0,49,C,B39
0,3,male,21.0,0,0,8,S,E10
0,3,male,21.0,0,0,14,C,D56
1,1,female,54.0,1,0,78,C,D20
0,3,male,54.0,0,0,15,S,G6
0,1,female,25.0,1,2,151,S,C22 C26
0,3,male,24.0,0,0,7,S,F G73
0,3,male,17.0,0,0,8,S,E10
0,3,female,21.0,0,0,7,Q,F G73
0,3,female,21.0,0,0,7,Q,F G73
0,3,female,37.0,0,0,9,S,E10
1,1,female,16.0,0,0,86,S,B79
0,1,male,18.0,1,0,108,C,C65
1,2,female,33.0,0,2,26,S,C103
1,1,male,33.0,0,0,26,S,C103
0,3,male,28.0,0,0,22,S,F E69
1,3,male,26.0,0,0,56,S,E36
1,3,male,29.0,0,0,7,Q,F G73
0,3,male,29.0,0,0,8,S,E10
1,1,male,36.0,0,0,26,S,E25
1,1,female,54.0,1,0,59,C,B30
0,3,male,24.0,0,0,7,S,F G73
0,1,male,47.0,0,0,34,S,D46
1,2,female,34.0,0,0,10,S,F33
0,3,male,34.0,0,0,24,Q,E58
1,2,female,36.0,1,0,26,S,C103
0,3,male,32.0,0,0,7,S,F G73
1,1,female,30.0,0,0,93,S,B73
0,3,male,22.0,0,0,7,S,F G73
0,3,male,22.0,0,0,7,C,F G73
1,1,female,44.0,0,1,57,C,B18
0,3,male,44.0,0,0,7,C,F G73
0,3,male,40.5,0,0,7,Q,F G73
1,2,female,50.0,0,0,10,S,F33
0,1,male,50.0,0,0,221,S,C95
0,3,male,39.0,0,0,7,S,F G73
0,2,male,23.0,2,1,11,S,F33
1,2,female,2.0,1,1,26,S,C103
0,3,male,2.0,0,0,7,C,F G73
0,3,male,17.0,1,1,7,C,F G73
1,3,female,17.0,0,2,22,C,F E69
0,3,female,30.0,0,0,8,S,E10
1,2,female,7.0,0,2,26,S,C103
0,1,male,45.0,0,0,26,S,B38
1,1,female,30.0,0,0,106,C,C86
0,3,male,30.0,0,0,14,S,D56
1,1,female,22.0,0,2,49,C,B39
1,1,female,36.0,0,2,71,S,B22
0,3,female,9.0,4,2,31,S,A31
0,3,female,11.0,4,2,31,S,A31
1,2,male,32.0,1,0,26,S,C103
0,1,male,50.0,1,0,106,C,C86
0,1,male,64.0,0,0,26,S,C103
1,2,female,19.0,1,0,26,S,C103
1,2,male,19.0,0,0,13,C,D56
0,3,male,33.0,1,1,20,S,F E69
1,2,male,8.0,1,1,36,S,A5
1,1,male,17.0,0,2,110,C,C70
0,2,male,27.0,0,0,26,S,C103
0,3,male,27.0,0,0,7,Q,F G73
1,3,male,22.0,0,0,7,C,F G73
1,3,female,22.0,0,0,7,S,F G73
0,1,male,62.0,0,0,26,S,C103
1,1,female,48.0,1,0,39,C,A16
0,1,male,48.0,0,0,227,C,C62 C64
1,1,female,39.0,1,1,79,S,E67
1,3,female,36.0,1,0,17,S,G6
0,3,male,36.0,0,0,7,Q,F G73
0,3,male,40.0,0,0,7,S,F G73
0,2,male,28.0,0,0,13,S,D56
0,3,male,28.0,0,0,8,S,E10
0,3,female,24.0,0,0,8,S,E10
0,3,male,24.0,2,0,24,S,E58
0,3,male,19.0,0,0,7,S,F G73
0,3,female,29.0,0,4,21,S,F E69
0,3,male,29.0,0,0,7,C,F G73
1,3,male,32.0,0,0,7,S,F G73
1,2,male,62.0,0,0,10,S,F33
1,1,female,53.0,2,0,51,S,C101
1,1,male,36.0,0,0,26,S,E25
1,3,female,36.0,0,0,7,Q,F G73
0,3,male,16.0,0,0,8,S,E10
0,3,male,19.0,0,0,14,S,D56
1,2,female,34.0,0,0,13,S,D56
1,1,female,39.0,1,0,55,S,E44
0,3,female,39.0,1,0,14,C,D56
1,3,male,32.0,0,0,7,S,F G73
1,2,female,25.0,1,1,30,S,A7
1,1,female,39.0,1,1,110,C,C68
0,2,male,54.0,0,0,26,S,C103
0,1,male,36.0,0,0,40,C,A10
0,3,male,36.0,0,0,8,C,E10
1,1,female,18.0,0,2,79,S,E68
0,2,male,47.0,0,0,15,S,G6
1,1,male,60.0,1,1,79,C,B41
0,3,male,22.0,0,0,8,S,E10
0,3,male,22.0,0,0,8,S,E10
0,3,male,35.0,0,0,7,S,F G73
1,1,female,52.0,1,0,78,C,D20
0,3,male,47.0,0,0,7,S,F G73
0,3,female,47.0,0,2,7,Q,F G73
0,2,male,37.0,1,0,26,S,C103
0,3,male,36.0,1,1,24,S,E58
1,2,female,36.0,0,0,33,S,B19
0,3,male,49.0,0,0,0,S,B94
0,3,male,49.0,0,0,7,C,F G73
1,1,male,49.0,1,0,56,C,A20
1,2,female,24.0,2,1,27,S,B4
0,3,male,24.0,0,0,7,S,F G73
0,1,male,44.0,0,0,42,S,F4
0,3,male,44.0,0,0,8,S,E10
1,1,male,35.0,0,0,26,C,C103
0,3,male,36.0,1,0,15,S,G6
0,3,male,30.0,0,0,7,S,F G73
1,1,male,27.0,0,0,30,S,A7
1,2,female,22.0,1,2,41,C,F4
1,1,female,40.0,0,0,153,S,C125
0,3,female,39.0,1,5,31,S,A31
0,3,male,39.0,0,0,7,S,F G73
1,3,female,39.0,1,0,15,Q,G6
0,3,male,35.0,0,0,7,Q,F G73
0,3,male,35.0,0,0,8,S,E10
1,2,female,24.0,1,2,65,S,B30
0,3,male,34.0,1,1,14,S,D56
0,3,female,26.0,1,0,16,S,G6
1,2,female,4.0,2,1,39,S,F4
0,2,male,26.0,0,0,10,S,F33
0,3,male,27.0,1,0,14,C,D56
1,1,male,42.0,1,0,52,S,D19
1,3,male,20.0,1,1,15,C,G6
0,3,male,21.0,0,0,7,S,F G73
0,3,male,21.0,0,0,16,S,G6
0,1,male,61.0,0,0,32,S,D50
0,2,male,57.0,0,0,12,Q,D
1,1,female,21.0,0,0,77,S,D9
0,3,male,26.0,0,0,7,S,F G73
0,3,male,26.0,0,0,7,Q,F G73
1,1,male,80.0,0,0,30,S,A23
0,3,male,51.0,0,0,7,S,F G73
1,1,male,32.0,0,0,30,C,B50
0,1,male,32.0,0,0,0,S,B94
0,3,female,9.0,3,2,27,S,B4
1,2,female,28.0,0,0,13,S,D56
0,3,male,32.0,0,0,7,S,F G73
0,2,male,31.0,1,1,26,S,C103
0,3,female,41.0,0,5,39,S,F4
0,3,male,41.0,1,0,16,S,G6
0,3,male,20.0,0,0,7,S,F G73
1,1,female,24.0,0,0,69,C,B35
0,3,female,2.0,3,2,27,S,B4
1,3,male,2.0,0,0,56,S,E36
1,3,female,0.75,2,1,19,C,G6
1,1,male,48.0,1,0,76,C,D33
0,3,male,19.0,0,0,7,S,F G73
1,1,male,56.0,0,0,35,C,A26
